,2007_IDH,2006_IDH,2005_IDH,2000_IDH,2007_Kcal,2006_Kcal,2005_Kcal,2000_Kcal
Portugal,0.798,0.791,0.789,0.778,3583.9,3574.31,3590.73,3586.25
Puerto Rico,,,,,,,,
Qatar,0.825,0.816,0.818,0.784,,,,
Reunion,,,,,,,,
Romania,0.767,0.757,0.748,0.704,3455.47,3561.89,3513.69,3177.61
Russia,0.742,0.733,0.725,0.691,3375.93,3213.3,3225.71,2884.03
Rwanda,0.401,0.39,0.376,0.313,2085.1,2061.1,2015.91,1922.87
Samoa,0.684,0.682,0.676,0.657,2885.92,2864.16,2882.55,2745.29
San Marino,,,,,,,,
Sao Tome and Principe,0.496,0.489,0.483,,2683.97,2681.99,2621.21,2372.65
Saudi Arabia,0.755,0.751,0.746,0.726,3143.95,3153.5,3102.86,3015.55
Senegal,0.445,0.436,0.432,0.399,2347.71,2322.93,2281.55,2151.03
Serbia,0.754,0.749,0.744,0.719,2710.16,2748.42,,
Serbia and Montenegro,,,,,,,2703.21,2653.55
Serbia excluding Kosovo,,,,,,,,
Seychelles,0.775,0.77,0.766,0.764,2462.62,2423.67,2390.57,2397.14
Sierra Leone,0.319,0.312,0.306,0.252,2170.26,2137.4,2076.33,1965.97
Singapore,0.85,0.843,0.835,0.801,,,,
Slovak Republic,0.825,0.817,0.81,0.779,2892.6,2904.1,2857.6,2796.13
Slovenia,0.868,0.858,0.848,0.805,3223.47,3212.38,3225.91,3051.81
Solomon Islands,0.515,0.512,0.502,0.479,2422.27,2445.75,2434.94,2320.38
Somalia,,,,,,,,
Somaliland,,,,,,,,
South Africa,0.604,0.601,0.599,0.616,2998.5,2993.39,2964.61,2886.0
South Ossetia,,,,,,,,
Spain,0.866,0.862,0.857,0.839,3271.77,3231.84,3307.79,3378.13
Sri Lanka,0.673,0.667,0.662,0.633,2360.61,2410.5,2403.61,2330.76
Sudan,0.395,0.39,0.383,0.357,2282.06,2279.86,2237.23,2105.32
Suriname,0.668,0.662,0.659,,2492.45,2429.44,2481.77,2447.63
Svalbard,,,,,,,,
Swaziland,0.507,0.499,0.493,0.492,2292.25,2305.17,2325.0,2267.73
Sweden,0.899,0.898,0.896,0.894,3110.22,3111.68,3126.26,3099.86
Switzerland,0.893,0.893,0.89,0.873,3465.33,3427.98,3369.19,3434.76
Syria,0.628,0.624,0.621,0.583,3034.26,3052.94,3061.41,3055.22
Taiwan,,,,,,,,
Tajikistan,0.588,0.583,0.575,0.527,2117.52,2180.69,2081.39,1911.99
Tanzania,0.44,0.429,0.42,0.364,2032.39,2034.46,1984.52,1929.21
Thailand,0.67,0.661,0.656,0.626,2538.62,2535.8,2512.84,2443.08
